Industry,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"            Data processing, internet publishing, and other information services",,8.498896247240628,0.3051881993896277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
            Truck transportation,,-0.4115226337448541,2.3415977961432466,-8.479138627187076,1.6176470588235237,12.011577424023145,4.134366925064592,-5.955334987593053,4.74934036939314,0.0,11.335012594458437,-10.746606334841625
                Computer systems design and related services,,-28.672316384180796,11.683168316831694,18.262411347517737,5.847076461769118,0.0,18.98016997167138,6.190476190476191,2.914798206278024,0.0,0.0,0.0
"                Electrical equipment, appliances, and components",,20.34120734908136,3.053435114503822,-16.402116402116405,5.822784810126591,-11.244019138755979,4.17789757412399,-13.19534282018111,-17.43666169895678,-11.552346570397109,8.571428571428562,-1.3157894736842146
                Machinery,,,,,3.149606299212593,-2.900763358778624,2.358490566037741,-7.5268817204301115,-9.634551495016607,18.198529411764696,9.64230171073095,-1.9858156028368823
            Air transportation,,-18.211559432933477,-22.666666666666668,5.517241379310356,0.6535947712418277,-16.233766233766232,45.34883720930232,-38.93333333333333,-19.213973799126638,-15.67567567567567,200.96153846153845,0.0
        Construction,,-8.616187989556135,47.14285714285715,19.999999999999996,5.663430420711979,39.81623277182236,-40.30668127053669,0.0,0.0,52.660550458715605,0.0,0.0
        Retail trade,,11.43790849673203,2.346041055718473,23.495702005730656,39.67517401392111,-21.42857142857143,17.124735729386884,47.111913357400724,-35.214723926380366,41.09848484848484,4.295302013422808,4.890604890604888
