Industry,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"            Data processing, internet publishing, and other information services",97.5,116.5,121.0,147.5,164.0,178.0,173.0,184.0,175.5,188.0,205.5,230.0
            Truck transportation,62.333333333333336,63.333333333333336,63.666666666666664,60.666666666666664,62.0,68.0,73.66666666666667,74.66666666666667,76.0,80.33333333333333,75.0,93.0
                Computer systems design and related services,101.0,95.0,107.66666666666667,101.75,104.25,118.0,119.5,131.25,136.25,148.2,162.4,183.5
"                Electrical equipment, appliances, and components",76.0,88.66666666666667,86.66666666666667,110.5,80.0,108.5,79.33333333333333,106.5,92.0,91.5,101.5,103.5
                Machinery,81.25,79.75,76.0,100.5,102.0,102.0,110.5,109.5,102.0,116.5,84.0,88.33333333333333
            Air transportation,100.5,82.5,125.0,137.0,147.0,125.0,91.0,112.0,163.0,92.0,121.5,152.5
        Construction,122.0,100.0,170.0,212.0,214.0,161.0,209.0,325.5,270.5,169.0,152.33333333333334,254.0
        Retail trade,35.666666666666664,35.75,38.75,48.5,44.166666666666664,46.0,45.0,51.57142857142857,43.4,57.0,50.0,52.666666666666664
