 ,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
            Health care and social assistance,100,103,87,99,109,111,127,104,52,109,324,113,
                Ambulatory health care services,2,2,2,3,4,4,4,4,3,4,5,4,
                Hospitals,97,101,84,96,104,107,123,99,48,104,318,108,
                Nursing and residential care facilities,0,0,0,0,0,0,0,0,0,0,0,0,
                Social assistance,0,0,0,0,0,0,0,0,0,0,1,0,
"        Arts, entertainment, recreation, accommodation, and food services",125,139,151,148,154,170,175,185,166,169,155,160,
"            Arts, entertainment, and recreation",122,135,147,144,151,167,172,182,164,167,152,156,
"                Performing arts, spectator sports, museums, and related activities",122,135,146,144,151,167,172,181,164,166,152,156,
"                Amusements, gambling, and recreation industries",0,0,0,0,0,0,0,0,0,0,0,0,
            Accommodation and food services,3,4,4,4,3,3,3,3,2,2,4,5,
                Accommodation,3,4,4,4,3,3,3,3,2,2,4,5,
                Food services and drinking places,0,0,0,0,0,0,0,0,0,0,0,0,
"        Other services, except government",4,4,4,4,5,5,4,6,5,6,7,6,
    Government5,"31,535","31,098","31,441","32,383","32,786","32,122","32,870","35,989","36,335","37,076","38,518","40,343",
        Federal,"28,899","28,648","29,047","29,843","30,284","29,730","30,215","33,073","33,136","33,806","34,719","35,997",
            General government,"28,896","28,645","29,044","29,841","30,281","29,727","30,212","33,070","33,133","33,797","34,715","35,994",
                National defense,"5,525","5,489","5,550","5,605","6,055","6,047","6,355","6,904","7,677","8,803","9,764","11,074",
                Nondefense,"23,373","23,158","23,496","24,240","24,227","23,680","23,858","26,166","25,467","25,019","24,975","24,930",
            Government enterprises,3,3,2,2,3,3,3,3,3,10,3,3,
        State and local,"2,623","2,446","2,396","2,539","2,502","2,392","2,655","2,916","3,200","3,271","3,816","4,388",
            General government,"2,623","2,446","2,396","2,539","2,502","2,392","2,655","2,916","3,200","3,271","3,816","4,388",
            Government enterprises,0,0,0,0,0,0,0,0,0,0,0,0,
Addendum:,,,,,,,,,,,,,
